
QEFFICIENT PERFORMANCE MONITORING REPORT
============================================================
Peak Memory Usage:
   • RSS (Physical): 32.89 GB at 01:53:39
   • VMS (Virtual):  483.49 GB at 01:52:46
   99.  174.4s - prefill: post: torch.onnx.export (0.0s) 
   100.  174.4s - prefill: language offload pytorch weights (1.0s) [-1.4 GB]
   101.  175.4s - prefill: post: language offload pytorch weights (0.0s) 
   102.  175.4s - prefill: onnx.load (0.0s) 
   103.  175.4s - prefill: post: onnx.load (0.0s) 
   104.  175.4s - prefill: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform (0.0s) 
   105.  175.4s - prefill: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform (0.0s) 
   106.  175.4s - prefill: onnx.save (0.0s) 
   107.  175.5s - prefill: post: onnx.save (0.2s) 
   108.  175.7s - prefill: post: language export (0.0s) 
   109.  175.7s - prefill: post: dual-qpc export orchestration (0.0s) 
   110.  175.7s - prefill: onnx.load (0.0s) 
   111.  175.7s - prefill: post: onnx.load (0.0s) 
   112.  175.7s - prefill: language compile wrapper (0.0s) 
   113.  175.7s - prefill: onnx.load (0.0s) 
   114.  175.7s - prefill: post: onnx.load (0.0s) 
   115.  175.7s - prefill: subprocess.run: qaic-compile (85.3s) [-3.0 GB]
   116.  261.0s - prefill: post: subprocess.run: qaic-compile (0.0s) 
   117.  261.0s - prefill: post: language compile wrapper (0.0s) 
   118.  261.0s - prefill: post: compile request (0.1s) 
   119.  261.1s - Completion  
